,0
420,Wnt2
421,Wnt2b
422,Wnt3
423,Wnt3a
424,Wnt4
425,Wnt5a
426,Wnt5b
427,Wnt6
428,Wnt7a
429,Wnt7b
430,Wnt8a
431,Wnt8b
432,Wnt9a
433,Wnt9b
434,Xcl1
