"","l2.t.0.582496032714844","l2.t.0.445651196128444","l2.t.0.308806359542044","l2.t.0.171961522955644","l2.t.0.0351166863692435","l2.t0.101728150217157","l2.t0.238572986803557","l2.t0.375417823389957","l2.t0.512262659976357","l2.t0.649107496562757","l2.t0.785952333149157","l2.t0.922797169735557","l2.t1.05964200632196","l2.t1.19648684290836","l2.t1.33333167949476","l2.t1.47017651608116","l2.t1.60702135266756","l2.t1.74386618925396","l2.t1.88071102584036","l2.t2.01755586242676"
"Taf4b",2.43728238497747,1.21967234725133,0.338689987008293,-0.06537913286357,-0.34753934080488,-0.625004102663124,-0.709037519875755,-0.628805689311859,-0.518832685649047,-0.405470066097416,-0.289025977555951,-0.16980856692363,-0.0481259810994422,0.0757136330176214,0.201402128528592,0.328631358534475,0.457093176136302,0.58647943443507,0.716481986531813,0.84679268552753
"Hoxc8",-0.527136283556667,-0.416810520668213,-0.251687977333713,-0.0040803878306952,0.28273402979478,0.517369526278689,0.588153211820216,0.545611159424205,0.508774184306979,0.498714677478741,0.51299832364049,0.549190807493224,0.604857813737947,0.677565027075664,0.764878132207371,0.86436281383407,0.973584756656764,1.09010964537645,1.21150316469414,1.33533099931083
"Adh5",0.962715698545465,0.457834799206184,0.265643871621303,0.392804278033531,0.0690928596494343,-0.703581923436235,-1.08303002804146,-1.0167856290422,-0.856491683942718,-0.672425421608345,-0.466747961787732,-0.241620424229493,0.000796071317741202,0.258340405105346,0.528851457384708,0.810168108407184,1.10012923842417,1.39657372768702,1.69734045644712,2.00026830495585
"Sema3a",0.473912011100101,0.450025008850536,0.432827764290526,0.432792548110781,0.467596304693261,0.4633388200602,0.272361314401426,-0.0479429117475019,-0.351548307754742,-0.613257143335502,-0.836878196710381,-1.02622024609997,-1.18509206972485,-1.3173024458056,-1.42666015256284,-1.51697396821712,-1.59205267098906,-1.65570503909922,-1.71173985076822,-1.76396588421662
"Cd3g",-0.127355538713352,0.0623005277467803,0.253464099617218,0.440911650368356,0.601177680635672,0.713748303407479,0.764982350397898,0.748236661781476,0.662260091930952,0.511576488101902,0.302068307928745,0.0396180090458867,-0.269891950912258,-0.620579114311282,-1.00656102351677,-1.42195522089432,-1.86087924880951,-2.31745064962793,-2.78578696571518,-3.26000573943683
"Fibin",1.00238071757795,0.00364052502173893,-0.299225096296836,0.199704504267684,0.108560854184202,-0.70594292507164,-0.960997317493046,-0.600135026651312,-0.190870773097446,0.160509249377433,0.459267243598676,0.710665412391654,0.919965958581728,1.09243108499426,1.23332299445461,1.34790388978815,1.44143597382024,1.51918144937623,1.58640251928151,1.64836138636141
"Gpx3",0.63191299357183,-0.852017799116049,-1.35031704456394,-0.577959234410007,-0.029540969911201,-0.11436109075749,0.0827886696679246,0.603119644588391,1.03808788611848,1.31940209134422,1.46103080902056,1.47694258790242,1.38110597674476,1.18748952430251,0.910061779330618,0.562791290584019,0.159646606817656,-0.285403723213529,-0.758391150754599,-1.24534712705061
"Cdsn",1.35881819837999,1.16109236172479,0.963366440655084,0.765640305752529,0.567913698743043,0.370186449546025,0.17245851620463,-0.0252699808139816,-0.222998862224835,-0.420728069500145,-0.618457573015877,-0.816187343147987,-1.01391735027243,-1.21164756476517,-1.40937795700216,-1.60710849735936,-1.80483915621273,-2.00256990393822,-2.2003007109118,-2.39803154750942
"Id2",0.411943705886023,-0.175653824363733,-0.464075609432122,-0.342377145442362,-0.177842553053329,-0.132244616145328,-0.083824178738103,0.00496703657188809,0.118586251580779,0.252436608860795,0.404678913660017,0.573473971226524,0.756982586808396,0.95336556565371,1.16078371301055,1.37739783412699,1.60136873425111,1.83085721863099,2.06402409251472,2.29903016115037
"Hpgd",-0.884031497968302,-0.577116389721261,-0.353760156450316,-0.20206669149807,0.130667909629806,0.586688243593682,0.790719569338114,0.763989995689595,0.719516913767832,0.697073910905802,0.694658252643526,0.710267204521031,0.74189803207834,0.78754800085548,0.845214376392471,0.912894424229341,0.988585409906113,1.07028459896281,1.15598925693946,1.24369664937609
"Ptafr",0.823742201066047,0.712251416538323,0.60585628862467,0.504214361182589,0.392675627142137,0.25963499281174,0.100420756050815,-0.0760899400797459,-0.256247169626897,-0.437346912531166,-0.619303485760097,-0.802031206281217,-0.985444391062064,-1.16945735707017,-1.35398442127307,-1.5389399006383,-1.72423811213339,-1.90979337272588,-2.09551999938331,-2.2813323090732
"1500009L16Rik",2.88617082840289,0.872849086715366,0.110035558036601,0.815548776985461,0.584507234487886,-0.88458736657027,-1.49816847452774,-1.13593572195639,-0.689409905999476,-0.326191697704072,-0.0387076781918938,0.180615571415412,0.339351469996154,0.44507343642865,0.505354889591223,0.527769248362205,0.519889931619898,0.489290358242627,0.443543947108722,0.390224117096486
"Basp1",0.69848294375641,-0.89640592974636,-1.29586741744019,-0.210401586178217,0.345767486288611,-0.105731744041041,-0.204188301319087,0.195938868691703,0.597440450013933,0.909795855474908,1.14110928288021,1.2994849300354,1.39302699474604,1.42983967481771,1.41802716805597,1.36569367226639,1.28094338525454,1.17188050482598,1.04660922878629,0.913233754941033
"Prss35",0.847877414977932,0.576569740727884,0.48117287027483,0.569522440960393,0.42272607664188,0.0345507458655815,-0.150984653343305,-0.120361704443755,-0.0769341445679845,-0.0584617054727258,-0.0626757398142876,-0.0873076002489929,-0.130088639433158,-0.188750210023098,-0.261023664675134,-0.344640356045581,-0.437331636790758,-0.536828859566983,-0.640863377030571,-0.747166541837842
"Irf4",-0.817641329874603,-0.599521019217112,-0.382636371998606,-0.168632626274898,0.0392353139867358,0.229391167291464,0.384331283310842,0.509001569973776,0.618496356539202,0.716578679625665,0.804286035913084,0.882655922081359,0.952725834810394,1.0155332707801,1.07211572667037,1.12351069916112,1.17075568493225,1.21488818066367,1.25694568303527,1.29796568872697
"Krt16",-0.864171674640442,-0.485380818524548,-0.231934285873534,-0.140388849916428,-0.0234817535464228,0.129377493332425,0.131486547983177,0.00703075137231708,-0.119599765616978,-0.22576510342466,-0.313325732885403,-0.384142124833908,-0.440074750104869,-0.482984079532979,-0.514730583952929,-0.537174734199411,-0.552177001107125,-0.561597855510753,-0.567297768244997,-0.57113721014455
"Il1r1",0.228373173364742,-0.410192211045923,-0.59061560269139,-0.199377874496663,0.000580416563582606,-0.180101296611384,-0.238884057671643,-0.104288398314791,0.0623270758610718,0.229373232941613,0.396810919935498,0.564600983851395,0.732704271697974,0.901081630483892,1.06969390721781,1.23850194890841,1.40746660256435,1.57654871519428,1.7457091338069,1.91490870541084
"Insig1",1.45849509364489,0.629914364661895,0.211958080071969,0.420542742004528,0.969578361725588,1.3670610222178,1.07476326686805,0.309361643058008,-0.391919954351593,-0.936575498337499,-1.33884372102912,-1.6129633545559,-1.77317313104726,-1.83371178263263,-1.80881804144142,-1.71273063960308,-1.55968830924704,-1.36392978250271,-1.13969379149953,-0.901219068366919
"Apold1",1.0472350916479,0.858419764034668,0.688537896981825,0.548744054609505,0.430334195830676,0.314851866167193,0.179480735090979,0.0222159057807228,-0.148401675924237,-0.329906277568152,-0.521308170065664,-0.721617624331413,-0.929844911280041,-1.14500030182619,-1.36609406688449,-1.5921364773696,-1.82213780419614,-2.05510831827876,-2.2900582905321,-2.52599799187081
"Nol4l",0.13031212271544,0.228891830997039,0.279368669526434,0.21977756741938,-0.0445954212845647,-0.364402105970996,-0.378044521286345,-0.136676846492366,0.116661354528562,0.337215357471444,0.527965543979728,0.691892295696875,0.831975994266348,0.951197021331607,1.05253575853611,1.13897258752331,1.21348788993668,1.27906204741966,1.33867544161573,1.39530845416834
"Nfatc4",2.68994442422055,1.20754051186556,0.340345600214469,0.320830762630418,0.409732164684996,0.284529083491163,0.194266524074271,0.179723959209524,0.163321505823349,0.131037877523182,0.0843168174830021,0.0246020688768208,-0.0466626251213656,-0.128033521337554,-0.218066876597746,-0.315318947727941,-0.418345991554138,-0.525704264902339,-0.635950024598542,-0.747639527468741
"Rflnb",1.06827502324928,1.0289032118089,0.992720889144023,0.939695916146955,0.791596482305141,0.596462158475518,0.52062502493648,0.529779154519717,0.498391307174511,0.406558683418949,0.259776262926691,0.0635390253714093,-0.176658049573227,-0.455319982233547,-0.766951792935884,-1.10605850200657,-1.46714512977193,-1.8447166965583,-2.233278222692,-2.62733472849938
"Gm14964",0.927088874518444,0.746218724068858,0.607945830544197,0.544065381076562,0.558995991147061,0.608572420001364,0.610283734387094,0.543635188256323,0.422888719035846,0.254374446308774,0.042434897666626,-0.208587399299095,-0.494349916996881,-0.810510127835223,-1.15272550422261,-1.51665351856754,-1.89795164327851,-2.29227735076399,-2.6952881134325,-3.1026414036925
"Gsta3",0.793998110326178,0.866987630326637,0.845856758606894,0.704341497200841,0.589301900603139,0.557081773409515,0.54517477197768,0.523026258113231,0.483483475201826,0.426506372663231,0.353679888645361,0.266588961296147,0.166818528763517,0.055953529195399,-0.0644210992602852,-0.192720418455603,-0.327359490242628,-0.466753376473437,-0.6093171390001,-0.753465839674689
"Mllt3",1.8944361689719,1.43267781499265,0.957239244536443,0.448952795129363,-0.123347100098675,-0.68459050559851,-1.06635660799874,-1.26626363200682,-1.3648050568478,-1.38350869171854,-1.32963251752544,-1.21043451517487,-1.03317266557321,-0.80510494962686,-0.5334893482422,-0.225583842325613,0.111353587216511,0.470064959477795,0.843292293551848,1.22377760853229
"Hspb2",0.0347603019015628,0.273927211462754,0.521782319574593,0.743938491410257,0.793529572611153,0.64498807578576,0.410680133742125,0.155223193762047,-0.0939795277888005,-0.332529732540779,-0.561395831111985,-0.78154623412048,-0.993949352184353,-1.19957359592168,-1.39938737595055,-1.59435910288901,-1.78545718735516,-1.97365003996708,-2.15990607134285,-2.34519369210054
"1700019D03Rik",-0.63333222722226,-0.73714506497244,-0.615142315369472,-0.191840812007432,0.224261413021423,0.472866829387096,0.610726281486066,0.691755028858114,0.754613128593773,0.807433152045111,0.851127651601617,0.886609179652774,0.914790288588064,0.936583530796972,0.952901458668979,0.96465662459357,0.972761580960225,0.978128880158435,0.981671074577676,0.984300716607433
"Cdca8",2.7990150939619,0.370680972850376,-0.453407933998313,0.716721707870492,1.18268476492624,0.287491391509318,-0.173935849086666,0.00712256923929651,0.195877150837839,0.276303665596088,0.258250119590417,0.151564518897229,-0.0339051304070939,-0.288310822246149,-0.60180455054355,-0.96453830922291,-1.36666409220783,-1.79833389342193,-2.24969970678882,-2.71091352623208
"Edil3",0.554042074866502,-0.214074825124629,-0.436602776877117,-0.0455481408335433,-0.184937647106947,-0.924673489322313,-1.14162276671119,-0.79908785484884,-0.409557315048601,-0.0692056760225071,0.226437871390739,0.481844136352402,0.701483928023782,0.889828055566166,1.05134732814084,1.19051255490908,1.31179454503217,1.41966410767141,1.51859205198808,1.61304918714346
"Plce1",-1.40987274849588,-1.16142055063048,-0.825747096246261,-0.419939265230805,-0.226609970047416,-0.235152573219073,-0.12176497945671,0.12982142317354,0.380106792012942,0.603862850575802,0.803501354341798,0.981434058790623,1.14007271940196,1.28182909165549,1.40911493103091,1.52434199300789,1.62992203306614,1.72826680668532,1.82178806934514,1.91289757652526
"Mcam",1.26450263007347,1.23657841584486,1.12805735471443,0.866860010995509,0.401782932166398,-0.182198010099042,-0.680409487807934,-1.03715891948012,-1.28171729104252,-1.42718546456207,-1.48257163986085,-1.45688401676094,-1.35913079508441,-1.19832017465334,-0.98346035528982,-0.723559536815903,-0.427625919053686,-0.104667701825233,0.236306915047369,0.586289731742057
"Noct",1.61631009637194,-0.147711433044353,-0.538193744608979,0.688804546758895,0.901980652907399,-0.394038476831921,-1.1960376712506,-1.20828946841513,-1.05507103834653,-0.861483769199281,-0.631197555435072,-0.3678822915156,-0.0752078719025616,0.243155808942341,0.583538856557426,0.942271376480979,1.31568347425132,1.70010525540674,2.09186682548557,2.48729829002608
"Fzd4",-0.539220393925171,-0.418505558009827,-0.29773546321574,-0.176858319077081,-0.0558308521143889,0.0652797007839929,0.186292115480789,0.30699154551087,0.427195137200671,0.546904138601597,0.666163512467179,0.785018221550952,0.90351322860645,1.02169349638721,1.13960398764676,1.25728966513864,1.37479549161638,1.49216642983352,1.60944744254359,1.72668349250013
"Ndufa4l2",-0.957982979057465,-0.137732574925368,0.313842517640055,0.364297439427349,0.830308142892266,1.63730220324825,1.76667437094454,1.28791934735302,0.795858306174587,0.399051991468432,0.0888408826461744,-0.143434540880576,-0.306433799700216,-0.408816414401131,-0.45924190557171,-0.466369793800341,-0.438859599675416,-0.38537084378532,-0.314563046718447,-0.235095729063185
"Klf7",1.46547988894538,0.0139731435145506,-0.678786313196294,-0.372393889590556,-0.143268934670623,-0.340878524237177,-0.396187675006647,-0.229566250460295,-0.0282490578889843,0.171284396472353,0.369196270642804,0.565648722641456,0.760803910487399,0.95482399219972,1.14787112579751,1.34010746929986,1.53169518072585,1.72279641809457,1.91357333942512,2.10418810273658
"Cyp51",2.9447155455966,1.13648801172894,0.358636738054811,0.855605948556686,0.872287304801522,-0.0204472078065597,-0.655473789504781,-0.848251527276419,-0.949506912194497,-1.0294647734787,-1.09006124964119,-1.13323247919416,-1.16091460064975,-1.17504375252015,-1.17755607331753,-1.17038770155405,-1.15547477574189,-1.13475343439322,-1.11015981602021,-1.08363005913503
"Csf2rb",0.806165940023106,0.74775905232095,0.698874523143335,0.649906050928396,0.541448310420362,0.357682881175629,0.134956439291442,-0.0978526514370022,-0.32178958749493,-0.534088750336205,-0.735808119344162,-0.928005673902132,-1.11173939339345,-1.28806725720144,-1.45804724470944,-1.62273733530079,-1.7831955083588,-1.94047974326682,-2.09564801940817,-2.2497583161662
"Ptgs2",0.108417999164779,-0.662361610865112,-0.742022299060954,-0.039570953255434,0.0106942414377982,-0.743816301485215,-1.008473275075,-0.686248114542953,-0.298550377959463,0.0554336835263791,0.378768949468899,0.674520299422425,0.945752612941296,1.19553076957984,1.42691964889239,1.64298413043328,1.84678909375684,2.0413994184174,2.2298799839693,2.41529566996686
"Higd1b",0.629357813218228,0.496180908458201,0.362938800694507,0.229451133530671,0.0952835542226336,-0.0383618195474665,-0.168952770020602,-0.297719747151477,-0.427477402413391,-0.558665400099244,-0.691153709079584,-0.82481229822496,-0.959511136405923,-1.09512019249303,-1.23150943535683,-1.36854883386787,-1.5061083568967,-1.64405797331389,-1.78226765198997,-1.92060736179549
"Foxs1",1.0884061070905,0.928684068883837,0.768132638507986,0.60742934304371,0.451614323124019,0.312810692400557,0.208369587650925,0.143611815700789,0.116520305933476,0.12414115140089,0.163318683445332,0.230897233409089,0.323721132634471,0.438634712463768,0.572482304239283,0.72210823930331,0.884356848998143,1.05607246466608,1.23409941764943,1.41528203929048
"Hsph1",-0.409232956617038,-0.38221469958057,-0.303434471958189,-0.196302860400113,-0.273771819795553,-0.467751350880741,-0.428641941708282,-0.175441563932606,0.0947111493196694,0.344969652587799,0.577142510415783,0.793038287347641,0.994465547927387,1.18323285669904,1.3611487782066,1.53002187699409,1.69166071760553,1.84787386458492,2.00046988247629,2.15125733582364
"Plekhg1",-0.681586823641769,-0.471611696854782,-0.255519758291027,-0.035134955364837,0.166608113110307,0.329310725705972,0.441687897041126,0.521175377316862,0.595649723907586,0.670468212777727,0.745599558265531,0.82101247470923,0.896675676447057,0.972557877817241,1.04862779315803,1.12485413680764,1.20120562310431,1.27765096638629,1.35415888099179,1.43069808125906
"Gldn",0.87506894563798,0.737191234635866,0.621412007713951,0.544407429184583,0.509163329961986,0.493752154809774,0.455706352973422,0.376163653830896,0.251942020606622,0.0855622398284202,-0.119143129635173,-0.358341528915619,-0.628200399144377,-0.924887181452907,-1.24456931697267,-1.58341424683513,-1.93758941217175,-2.30326225411399,-2.6766002137933,-3.05377073234115
"Scube3",1.81724324202802,1.2748925572109,0.757631337876724,0.279638736020132,-0.169522492957565,-0.534383607838581,-0.702980091386788,-0.71067067006859,-0.658675848889477,-0.569346567046562,-0.446076866418387,-0.292260788883472,-0.111292376320345,0.0934343293924669,0.318525286376438,0.560586452753043,0.816223786643756,1.08204324617004,1.35465078945339,1.63065237461526
"Mtss1",2.26755567470975,1.81246366112393,1.39933657552856,1.04278063706702,0.688266834918137,0.323611314025729,-0.010595102677784,-0.296324084294218,-0.531353051278986,-0.718786776544634,-0.862952100247453,-0.968175862543711,-1.03878490358971,-1.07910606354171,-1.09346618255603,-1.08619210078892,-1.06161065839667,-1.02404869553558,-0.977833052361922,-0.92729056903198
"Cxcl10",-0.456880604378394,-0.308509976492664,-0.183325468981919,-0.110978067517339,-0.137088223022135,-0.207978619765495,-0.18076234451752,-0.0564400489587859,0.0934617919910672,0.254232456070183,0.424883868448622,0.604427954296455,0.791876638783748,0.98624184708057,1.18653550435699,1.39176953578307,1.60095586652888,1.81310642176449,2.02723312665996,2.24234790638537
"Pik3c2b",-0.684696359107826,-0.500117086824752,-0.312952434778878,-0.122126099509137,0.0692410517228346,0.2506912190609,0.406501880831231,0.535490327456633,0.644014815348181,0.734630205065257,0.808964596441902,0.868646089312151,0.915302783510055,0.950562778869658,0.976054175224998,0.99340507241013,1.00424357025908,1.01019776860591,1.01289576728464,1.01396566612934
"Tob1",2.16352065075566,1.30743335458029,0.627992233961952,0.273419392590516,0.318978667193765,0.533144902419047,0.438920457464321,0.0924596992490545,-0.202064465206643,-0.393200754757626,-0.490348067122515,-0.50290530001992,-0.440271351168437,-0.311845118286691,-0.127025499093285,0.10478860869317,0.374198307354067,0.67180469917079,0.988208886424731,1.31401197139729
"Mfsd2a",2.35702690249586,1.51649373261901,0.740218320762905,0.0774510994727164,-0.457712524978573,-0.86342196931846,-1.14482132755494,-1.31410390190401,-1.38594359638448,-1.36963955355224,-1.27320484043573,-1.10465252406337,-0.871995671463583,-0.583247349664808,-0.246420625695462,0.130471433416016,0.539415760641211,0.972399288951685,1.42140895131901,1.87843168071477
"Gm12216",-1.51183864683261,-1.21130471259756,-0.903233203083376,-0.584565036291211,-0.263933152247807,0.0465276153397878,0.333272524163104,0.583802866293032,0.789042630495791,0.95047245578042,1.07207506386676,1.15783317647463,1.21172951532387,1.23774680213431,1.23986775862576,1.22207510651806,1.18835156753104,1.14267986338455,1.08904271579839,1.0314228464924
"Wfdc1",0.359144568648361,0.284055918015806,0.206169810504532,0.11636959335086,-0.00849948082487626,-0.106032835182944,-0.0420471025775517,0.142063916387757,0.327225979754919,0.491876814743213,0.637881078477985,0.76710342808459,0.881408520688377,0.982661013414702,1.07272556338891,1.15346682773636,1.22674946358241,1.2944381280524,1.35839747827168,1.42049217136561
"Zfp503",0.10119255226289,-0.140605735604229,-0.323658169413925,-0.402329376794196,-0.363166661197517,-0.24432537241532,-0.123966641066926,-0.0125083959045709,0.114324253733511,0.259901541062163,0.422519408109508,0.600473796903675,0.792060649472803,0.995575907845016,1.20931551404845,1.43157541011122,1.66065153806147,1.89483983992734,2.13243625773694,2.37173673351841
"Itga6",2.74944580248941,2.19595038727793,1.66113898780928,1.14725732865368,0.61523724831402,0.0726643662214022,-0.41952593150467,-0.812359333803963,-1.07433145411222,-1.20879132692285,-1.22733097473567,-1.14154242005044,-0.963017685366955,-0.703348793185,-0.374127766004341,0.0130533736752187,0.446602603353918,0.914927900531952,1.40643724270956,1.90953860738695
"Adcy1",0.291041261686689,0.450871048603129,0.545959009050409,0.575248830433984,0.697985044747297,0.879718155923331,0.885333201108866,0.718935351098645,0.502662316742925,0.262052611154896,-0.000681341007955526,-0.283327115088148,-0.583672286428202,-0.899504430370633,-1.22861112225796,-1.5687799374327,-1.91779845123736,-2.27345423901448,-2.63353487610656,-2.99582793785612
"Irx1",0.911885497583933,0.611335861048575,0.402461278278736,0.383467203479716,0.667421979800075,1.07096938088842,1.15344555314677,0.93666740513886,0.66480148826444,0.385820142644708,0.100370225438324,-0.19090140619604,-0.487347895099725,-0.788322384114062,-1.09317801608039,-1.40126793384004,-1.71194528023435,-2.02456319810466,-2.3384748302923,-2.6530333196386
"Col8a1",-0.11575288717143,-0.732862341909744,-0.562732389815803,0.519771293639614,0.955542242525774,0.505862348578936,0.446472321907107,0.858273759977149,1.20837892116198,1.4042561205365,1.45992608190165,1.38940952905837,1.20672718580759,0.925899775950251,0.560948023287284,0.125892651619634,-0.365245615251761,-0.898446053525967,-1.45968793940205,-2.03495054907907
"Vwa1",0.0317849500034544,0.102763318719624,0.0631270439909736,-0.173648690164824,-0.629164078654843,-1.08767514002233,-1.15039741958253,-0.88513383161302,-0.574101845231485,-0.271432550390421,0.0236342975956372,0.311858943412211,0.594001631744795,0.870822607278895,1.14308211469999,1.4115403986936,1.6769577039452,1.94009427514032,2.20171035696443,2.46256619410305
"Lrrn1",2.20617839857155,1.61051692238316,1.10378131406813,0.70823846856616,0.279546070926927,-0.147846750941832,-0.354966732020438,-0.383367180766804,-0.395269770529183,-0.421112906666724,-0.459629266781685,-0.509551528476328,-0.569612369352908,-0.638544467013674,-0.715080499060902,-0.797953143096833,-0.885895076723732,-0.977638977543863,-1.07191752315948,-1.16746339117283
"Stxbp6",0.224203777414864,-0.0484577743935495,-0.185988454416274,-0.0956530606953571,0.206159350746512,0.551092569556379,0.667070382130327,0.597804023430829,0.531578428244853,0.50221417932098,0.506360245180838,0.540665594346052,0.601779195338249,0.686350016679057,0.791027026890104,0.912459194493014,1.04729548800942,1.19218487596094,1.34377632686921,1.49871880925585
"Traf1",0.827625237251031,0.711337363671862,0.597425580898865,0.483975378919031,0.3578849697243,0.214838775195844,0.0611385038724577,-0.0994086035130791,-0.265008484787491,-0.43499859040218,-0.60897980905348,-0.786553029437731,-0.967319140251275,-1.15087903019044,-1.33683358795158,-1.52478370223102,-1.71433026172511,-1.90507415513018,-2.09661627114257,-2.28855749845863
"Slc12a1",2.10684757115959,1.35707687802102,0.675320317383474,0.0934195146447774,-0.445996468233063,-0.923290062682032,-1.2360976836142,-1.39221025121009,-1.45357962108167,-1.4378981264941,-1.35217039148914,-1.20340104010851,-0.99859469639397,-0.744755984387246,-0.44888952813008,-0.117999951664215,0.240908120968612,0.620830065726656,1.01476125856818,1.41569707545145
"Nrn1",1.10812104338555,0.86284325705525,0.639343444276934,0.491460543533728,0.553683130917809,0.729318222441145,0.704734001456567,0.484585447772256,0.229197373071566,-0.0299733841086102,-0.292582943542857,-0.558287425005769,-0.826742948271941,-1.09760563311597,-1.37053159931243,-1.64517696663593,-1.92119785486107,-2.19825038376242,-2.47599067311459,-2.75407484269217
"Pdgfrb",3.86048244870386,1.45782219889543,0.286979156332231,0.713790411700365,0.901127903266697,0.243479837055698,-0.305818232144918,-0.546339647154463,-0.70556447791268,-0.830716139715959,-0.9248921933784,-0.991190199714069,-1.03270771953707,-1.05254231366147,-1.05379154290137,-1.03955296807084,-1.01292414998397,-0.977002649454848,-0.934886027297556,-0.889671844326183
"Pde4b",0.0886849155962997,-0.597642840662474,-0.844967824952226,-0.574437918811851,-0.621546555644367,-1.08772038713128,-1.23819485446623,-1.0218720566468,-0.740555416329106,-0.453498882045109,-0.161224262337213,0.135746634252197,0.436891999180735,0.741690023906003,1.04961889988562,1.36015681857719,1.67278197143832,1.98697254992662,2.3022067454997,2.61796274961517
"Col9a2",0.23490160424114,0.221744120022802,0.195920187019432,0.134625921937961,-0.00850918101828768,-0.147243105076856,-0.0815112410235582,0.139255151053594,0.35344000819932,0.532310669303269,0.679077515823783,0.796950929219201,0.889141290947876,0.958858982468143,1.00931438523835,1.04371788071684,1.06527985036195,1.07721067563203,1.08272073798543,1.08502041888049
"Coro1a",1.52860134355682,1.21790885621791,1.05808466075181,1.08774031120094,1.0573456922757,0.838090007117255,0.478390005794098,0.0718005832952704,-0.287738733784327,-0.586624762507816,-0.83037143818027,-1.02449269610682,-1.17450247159256,-1.28591469994259,-1.364243316462,-1.4150022564559,-1.4437054552294,-1.4558668480876,-1.45700037033559,-1.45261995727848
"Efemp1",-1.48893863788521,-1.19216765857164,-0.969884771679924,-0.758206070315806,-0.145090026093666,0.696233190702128,1.01797397705583,0.875765029228093,0.70997435655181,0.601903739452371,0.546305900150064,0.537933560865175,0.571539443817992,0.6418762712288,0.743696765317888,0.87175364830554,1.02079964241204,1.18558746985769,1.36086985286276,1.54139951364755
"Syne1",1.44050227852977,-0.0881423622545879,-0.931591684286006,-0.760198692099918,-0.150746694472358,0.342525399770747,0.393483428458057,0.149655751172617,-0.0478808415179236,-0.140798915908808,-0.138609246390921,-0.0508226073551308,0.113050226807684,0.343498481706636,0.631011382950854,0.966078156149449,1.33918802691157,1.74083022084631,2.16149396356282,2.5916684806702
"Camk2n1",2.57079881075634,0.529709681095506,-0.572167024208445,-0.341890835516959,0.224528104665757,0.529484777476862,0.626380738446647,0.614355252051679,0.583201276481689,0.550285752523191,0.515768820938777,0.479810622491033,0.442571297942554,0.404210988055932,0.364889833593761,0.324767975318627,0.284005553993129,0.242762710379854,0.201199585241393,0.159476319340341
"Nr4a3",2.58376075140323,1.20427979746411,0.485884473279379,0.632943367956786,0.688551753459127,0.330860282592242,0.044734467259296,-0.0881799037868408,-0.209759429275133,-0.346669429331932,-0.497516224451014,-0.66090613512614,-0.83544548185109,-1.01974058511963,-1.21239776542555,-1.4120233432626,-1.61722363912456,-1.82660497350521,-2.03877366689831,-2.25233603979764
"Il4ra",-0.299384359029329,-0.146301400420975,0.0203704835368467,0.226388470276807,0.525461247599833,0.808158545919131,0.823955599018375,0.616677910497545,0.365985592306876,0.107313954822062,-0.158611609293763,-0.431065707377489,-0.709322946766035,-0.992657934796291,-1.28034527880515,-1.57165958612953,-1.86587546410632,-2.16226752007241,-2.46011036136469,-2.75867859532009
"Wnt2",-0.895060215736603,-0.819848511509448,-0.650083557607045,-0.347728763121034,-0.0190621923145395,0.262777877716813,0.485617156033211,0.659100666833658,0.800721013867049,0.915807310405192,1.00677174285675,1.07602649763039,1.12598376113476,1.15905571977851,1.17765455997032,1.18419246811883,1.18108163063272,1.17073423392062,1.15556246439121,1.13797850845314
"Msx2",2.23625303639501,1.52905219311026,1.05555414110193,0.895103279028821,0.734445891646598,0.447150421590835,0.157166943866766,-0.0882766426910397,-0.292743187352421,-0.459784170439209,-0.592801915730914,-0.695198747007037,-0.770376988047096,-0.821738962630594,-0.852686994537043,-0.866623407545944,-0.866950525436816,-0.857070671989159,-0.840386170982485,-0.820299346196303
"Dkk3",0.324777843131134,-0.136962415810554,-0.124173447288718,0.402852240629351,0.378367664960536,-0.277932556982839,-0.547327733047474,-0.351332833018255,-0.0967305715654508,0.138576867929074,0.356343560188789,0.558323579937182,0.746271001897728,0.921939900793911,1.08708435134921,1.2434584282871,1.39281620633108,1.53691176020461,1.67749916463118,1.81633249433427
"Tmem150c",0.301369581887993,0.163251326371543,0.127204836489359,0.305123988932297,0.829370377702237,1.42941885211718,1.49225053507457,1.10649227667404,0.686483278130718,0.30946632955545,-0.0284669372306716,-0.331224890406557,-0.60271589815113,-0.846848328643307,-1.06753055006199,-1.26867093058611,-1.45417783839457,-1.62795964166628,-1.79392470858016,-1.95598140731513
"Wee1",1.51210886539618,0.853712384903621,0.473045996040617,0.494939962493761,0.65550997872724,0.767339289767903,0.792826183097625,0.738970417420805,0.630389361878066,0.475273142574012,0.277852228941494,0.0423570904133507,-0.226981803577567,-0.52593398359841,-0.850268980216336,-1.1957563239985,-1.55816554551204,-1.93326617532413,-2.31682774400191,-2.70461978211254
"Tnfaip3",-0.363162700352108,-0.439222298829542,-0.259622805377009,0.192497884749003,0.322142183117121,-0.0242992857523806,-0.464996445779039,-0.810023165733544,-1.00801216914882,-1.06012517536147,-0.979623638662647,-0.779769013343506,-0.473822753695194,-0.0750463140088573,0.403298851424368,0.947951288313324,1.54564954236687,2.18313215929386,2.84713768480313,3.52440466460356
