"","l1.t.0.580472279743976","l1.t.0.473299333927341","l1.t.0.366126388110706","l1.t.0.258953442294071","l1.t.0.151780496477436","l1.t.0.0446075506608015","l1.t0.0625653951558334","l1.t0.169738340972468","l1.t0.276911286789103","l1.t0.384084232605738","l1.t0.491257178422373","l1.t0.598430124239008","l1.t0.705603070055643","l1.t0.812776015872277","l1.t0.919948961688912","l1.t1.02712190750555","l1.t1.13429485332218","l1.t1.24146779913882","l1.t1.34864074495545","l1.t1.45581369077209"
"Calml4",0.830335127957189,0.715973967392509,0.607758832825838,0.507958787483535,0.371265906682487,0.12336606051005,-0.208237521270018,-0.50514863222305,-0.701553082704282,-0.836584600040394,-0.949888793677263,-1.04847383085425,-1.13337325459559,-1.2056206079255,-1.26624943386822,-1.31629327544796,-1.35678567568897,-1.38876017761547,-1.41325032425168,-1.43128965862184
"Capn5",1.01376755584763,0.897149839161614,0.771529585550515,0.629122644016469,0.470865837545671,0.303761254447381,0.130252215158322,-0.0513859248206051,-0.240893801954274,-0.434004091461515,-0.627066387857518,-0.819550182465159,-1.01149609625953,-1.20294475021573,-1.39393676530883,-1.58451276251392,-1.77471336280609,-1.96457918716043,-2.15415085655202,-2.34346899195595
"Ccdc171",0.857190639532341,0.704518614583798,0.55184999221633,0.399187876631564,0.246534291810161,0.0938904913211607,-0.0587420673205069,-0.211361750520896,-0.36396921230678,-0.516569423157512,-0.669166649683344,-0.821761682291102,-0.974354675032331,-1.12694578195857,-1.27953515712136,-1.43212295457223,-1.58470932836273,-1.73729443254441,-1.88987842116879,-2.04246144828741
"Ccdc3",1.18215897270229,1.02431177147418,0.884899085056816,0.779312615590221,0.697596801376131,0.612077016811209,0.506622088149301,0.375774967094419,0.216979704534872,0.0324377414906142,-0.175393331245815,-0.404849723384607,-0.65441295809755,-0.922564558556447,-1.2077860479331,-1.50855894939929,-1.82336478612683,-2.15068508128752,-2.48900135805315,-2.83679513959552
"Ccl11",1.51812057828664,1.32305648978898,1.14952509616461,1.01241764250058,0.854819812937991,0.574206067806241,0.18715994648536,-0.183076785138669,-0.464353985072353,-0.687703926422636,-0.886384674975903,-1.06663622388247,-1.22975262628924,-1.37702793534316,-1.50975620419114,-1.62923148598011,-1.73674783385699,-1.83359930096871,-1.92107994046217,-2.00048380548432
"Cdc14b",1.64082078760981,1.41942464214623,1.17120482499209,0.873310277674206,0.533554109177679,0.18301261589704,-0.126762420296885,-0.326907462978825,-0.401067223132758,-0.43284117176093,-0.495142962862105,-0.596912364759159,-0.735378058733362,-0.907768726066001,-1.11131304803835,-1.3432397059317,-1.60077738102733,-1.88115475460651,-2.18160050795053,-2.49934332234067
"Cdc42ep2",1.12247739315993,0.81996106424984,0.585127182375536,0.470899038081819,0.388101919154042,0.155026979317965,-0.217163148446574,-0.544230215732488,-0.725343923852957,-0.82804869407429,-0.919294661127131,-1.00950292053702,-1.09874633758659,-1.18709777755848,-1.27463010573531,-1.36141618739973,-1.44752888783435,-1.53304107232183,-1.61802560614477,-1.70255535458583
"Cldn1",0.811962629847565,0.726279191912329,0.643567865191573,0.565925477849082,0.486103870433646,0.390298507489133,0.268513226739757,0.114342998499315,-0.0716633727274753,-0.276107511250599,-0.48740197926107,-0.703470449942521,-0.9239777045498,-1.14858852433775,-1.37696769056121,-1.60877998447503,-1.84369018733405,-2.08136308039311,-2.32146344490706,-2.56365606213074
"Cpne8",1.08745471052942,0.945044626852477,0.804234326368475,0.666140476447503,0.526685893081221,0.378143469648518,0.214790540436988,0.0328060756355119,-0.167151912896733,-0.37612186588386,-0.586426314429099,-0.796869078761137,-1.00744044668506,-1.21813070600593,-1.42893014452885,-1.6398290500589,-1.85081771040115,-2.06188641336067,-2.27302544674257,-2.48422509835191
"Cpxm2",0.59875021784582,0.534038694779703,0.485955837251196,0.464843501019857,0.409764194187652,0.21504265152989,-0.0965977398985637,-0.387586785400135,-0.57994366653632,-0.715401502970803,-0.836773099150301,-0.951101131787425,-1.05888018261889,-1.16060483338142,-1.25676966581172,-1.34786926164652,-1.43439820262252,-1.51685107047644,-1.59572244694501,-1.67150691376494
"Crip2",1.62313272535469,1.30660766477581,1.03243144554708,0.834205044165764,0.663274430806424,0.41705297192051,0.0976603686161507,-0.19872939036046,-0.418935384695475,-0.596885351726101,-0.766464166528487,-0.933090245211148,-1.09697092165407,-1.25831352973724,-1.41732540334064,-1.57421387634425,-1.72918628262807,-1.88244995607206,-2.03421223055623,-2.18468043996055
"Cyp4b1",1.65004459987681,1.4664619919647,1.29819447545702,1.15617361363518,1.00490932527172,0.779748635337051,0.499154629948072,0.255886150325745,0.0985168799694319,-0.0124297331485927,-0.115217164783902,-0.215891516582557,-0.314601163822093,-0.411494481780043,-0.506719845733947,-0.600425630961333,-0.69276021273974,-0.7838719663467,-0.87390926705975,-0.963020490156424
