"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","MAC-3","DC-4","Tgfb1","TGFbR1_R2",0.00185060464289642,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","DC-1","FIB-III","Tgfb1","TGFbR1_R2",0.00458808460823633,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","DC-2","FIB-III","Tgfb1","TGFbR1_R2",0.00106659545530123,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","DC-3","FIB-III","Tgfb1","TGFbR1_R2",0.0032057381689907,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","MAC-1","FIB-III","Tgfb1","TGFbR1_R2",0.00645125941322122,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","MAC-2","FIB-III","Tgfb1","TGFbR1_R2",0.00265248776515527,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","MAC-3","FIB-III","Tgfb1","TGFbR1_R2",0.0102418486070478,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","BASO","FIB-III","Tgfb1","TGFbR1_R2",0.0020936152169317,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","MAST","FIB-III","Tgfb1","TGFbR1_R2",0.00696644545153169,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","TCELL-1","FIB-III","Tgfb1","TGFbR1_R2",0.00204761483586305,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"11","TCELL-2","FIB-III","Tgfb1","TGFbR1_R2",0.00204109773947258,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"12","DC-1","FIB-IV","Tgfb1","TGFbR1_R2",0.00712659078407868,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"13","DC-2","FIB-IV","Tgfb1","TGFbR1_R2",0.00165727561203044,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"14","DC-3","FIB-IV","Tgfb1","TGFbR1_R2",0.00497998396758392,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"15","MAC-1","FIB-IV","Tgfb1","TGFbR1_R2",0.0100204072796541,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"16","MAC-2","FIB-IV","Tgfb1","TGFbR1_R2",0.004121102107836,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"17","MAC-3","FIB-IV","Tgfb1","TGFbR1_R2",0.0159046400039304,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"18","MAC-5","FIB-IV","Tgfb1","TGFbR1_R2",0.00135010639121189,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"19","BASO","FIB-IV","Tgfb1","TGFbR1_R2",0.00325273832837024,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"20","MAST","FIB-IV","Tgfb1","TGFbR1_R2",0.0108186751186543,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"21","TCELL-1","FIB-IV","Tgfb1","TGFbR1_R2",0.00318125744544798,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"22","TCELL-2","FIB-IV","Tgfb1","TGFbR1_R2",0.00317121336822465,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"23","DC-1","MAC-1","Tgfb1","TGFbR1_R2",0.00199091101863004,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"24","DC-3","MAC-1","Tgfb1","TGFbR1_R2",0.00138633001060071,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"25","MAC-1","MAC-1","Tgfb1","TGFbR1_R2",0.00280124471280595,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"26","MAC-2","MAC-1","Tgfb1","TGFbR1_R2",0.0011423516995355,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"27","MAC-3","MAC-1","Tgfb1","TGFbR1_R2",0.00447669325599189,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"28","MAST","MAC-1","Tgfb1","TGFbR1_R2",0.00304134950393932,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"29","TCELL-1","MAC-1","Tgfb1","TGFbR1_R2",0.000882420652824466,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"30","DC-1","MAC-2","Tgfb1","TGFbR1_R2",0.00105887293982509,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"31","MAC-1","MAC-2","Tgfb1","TGFbR1_R2",0.00148992396054631,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"32","MAC-3","MAC-2","Tgfb1","TGFbR1_R2",0.00238222403800995,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"33","DC-1","MAC-5","Tgfb1","TGFbR1_R2",0.00444289174650982,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"34","DC-3","MAC-5","Tgfb1","TGFbR1_R2",0.00309696039354412,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"35","MAC-1","MAC-5","Tgfb1","TGFbR1_R2",0.00624995555877405,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
