"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","FIB-V","FIB-I","Tgfb1","TGFbR1_R2",0.00215369805093567,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","MAC-1","FIB-I","Tgfb1","TGFbR1_R2",0.00664919663589882,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","MAC-2","FIB-I","Tgfb1","TGFbR1_R2",0.00582967797394738,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","MAC-3","FIB-I","Tgfb1","TGFbR1_R2",0.00813490625183877,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","MAC-5","FIB-I","Tgfb1","TGFbR1_R2",0.00349459582898303,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","FIB-V","FIB-V","Tgfb1","TGFbR1_R2",0.00267329978647019,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","MAC-1","FIB-V","Tgfb1","TGFbR1_R2",0.00824999543079973,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","MAC-2","FIB-V","Tgfb1","TGFbR1_R2",0.00723318270160879,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","MAC-3","FIB-V","Tgfb1","TGFbR1_R2",0.0100922171246857,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","MAC-5","FIB-V","Tgfb1","TGFbR1_R2",0.0043374273053814,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"11","FIB-V","MAC-5","Tgfb1","TGFbR1_R2",0.00193989502406887,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"12","MAC-1","MAC-5","Tgfb1","TGFbR1_R2",0.00599692474992171,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"13","MAC-2","MAC-5","Tgfb1","TGFbR1_R2",0.00525778610335977,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
