"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","MAC-1","FIB-I","Tgfb1","TGFbR1_R2",0.00675462634451427,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","MAC-2","FIB-I","Tgfb1","TGFbR1_R2",0.00592211343995941,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","MAC-3","FIB-I","Tgfb1","TGFbR1_R2",0.00826388273823112,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","MAC-5","FIB-I","Tgfb1","TGFbR1_R2",0.0035500198097982,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","NEU","FIB-I","Tgfb1","TGFbR1_R2",0.0208062148415923,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","MAC-1","MAC-5","Tgfb1","TGFbR1_R2",0.00599692474992171,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","MAC-2","MAC-5","Tgfb1","TGFbR1_R2",0.00525778610335977,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","MAC-3","MAC-5","Tgfb1","TGFbR1_R2",0.00733960085541596,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","MAC-5","MAC-5","Tgfb1","TGFbR1_R2",0.00314831292300084,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","NEU","MAC-5","Tgfb1","TGFbR1_R2",0.0186620787787334,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"11","NEU","FIB-I","Areg","Egfr",0.000156051597099359,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"12","NEU","MAC-1","Areg","Egfr",2.97623618969616e-05,0.03,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"13","NEU","MAC-2","Areg","Egfr",3.34878630172924e-05,0.03,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"14","NEU","MAC-5","Areg","Egfr",6.88174431896279e-05,0.03,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"15","NEU","NEU","Areg","Egfr",4.02280074329689e-07,0.04,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
