"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","DC-1","DC-2","Tgfb1","TGFbR1_R2",0.000649660660706564,0.02,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","TCELL-1","DC-2","Tgfb1","TGFbR1_R2",0.0010329036796973,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","DC-1","DC-3","Tgfb1","TGFbR1_R2",0.000830843914441402,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","MAC-3","DC-3","Tgfb1","TGFbR1_R2",0.00107964347138065,0.04,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","TCELL-1","DC-3","Tgfb1","TGFbR1_R2",0.00132077039730142,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","TCELL-2","DC-3","Tgfb1","TGFbR1_R2",0.00050289719727509,0.04,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","DC-1","FIB-III","Tgfb1","TGFbR1_R2",0.0044445633557637,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","DC-3","FIB-III","Tgfb1","TGFbR1_R2",0.00310000603951929,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","MAC-1","FIB-III","Tgfb1","TGFbR1_R2",0.00176669081639367,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","MAC-2","FIB-III","Tgfb1","TGFbR1_R2",0.00286234974648827,0.02,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"11","MAC-3","FIB-III","Tgfb1","TGFbR1_R2",0.00576696989626907,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"12","TCELL-1","FIB-III","Tgfb1","TGFbR1_R2",0.00700120313064517,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"13","TCELL-2","FIB-III","Tgfb1","TGFbR1_R2",0.00271488284299307,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"14","DC-1","MAC-1","Tgfb1","TGFbR1_R2",0.0025265016389064,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"15","DC-3","MAC-1","Tgfb1","TGFbR1_R2",0.00175439594288281,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"16","MAC-1","MAC-1","Tgfb1","TGFbR1_R2",0.000996021702152488,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"17","MAC-2","MAC-1","Tgfb1","TGFbR1_R2",0.00161943147434474,0.04,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"18","MAC-3","MAC-1","Tgfb1","TGFbR1_R2",0.00328207625632448,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"19","TCELL-1","MAC-1","Tgfb1","TGFbR1_R2",0.00400877179617779,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"20","TCELL-2","MAC-1","Tgfb1","TGFbR1_R2",0.00153210723868536,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
