"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","DC-1","FIB-IV","Tgfb1","TGFbR1_R2",0.00631662308806728,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"2","DC-2","FIB-IV","Tgfb1","TGFbR1_R2",0.00146630140850206,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"3","DC-3","FIB-IV","Tgfb1","TGFbR1_R2",0.00441129231764351,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"4","DC-4","FIB-IV","Tgfb1","TGFbR1_R2",0.00185816843978535,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"5","MAC-1","FIB-IV","Tgfb1","TGFbR1_R2",0.00888259040092114,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"6","MAC-2","FIB-IV","Tgfb1","TGFbR1_R2",0.00364778644673384,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"7","MAC-3","FIB-IV","Tgfb1","TGFbR1_R2",0.0141152860276573,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"8","BASO","FIB-IV","Tgfb1","TGFbR1_R2",0.00287942998975458,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"9","MAST","FIB-IV","Tgfb1","TGFbR1_R2",0.00959946076391706,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"10","TCELL-1","FIB-IV","Tgfb1","TGFbR1_R2",0.00281621224783408,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
